00:21:30:430.149   Line: 016/1, intID = 0
00:21:30:650.856   Line: 288/18, intID = 2
00:21:30:651.377   Line: 304/19, intID = 0
00:21:30:651.961   Line: 304/19, intID = 2
00:21:30:652.438   Line: 320/20, intID = 0
00:21:30:653.015   Line: 320/20, intID = 2
00:21:30:653.497   Line: 336/21, intID = 0
00:21:30:654.031   Line: 336/21, intID = 2
00:21:30:654.559   Line: 352/22, intID = 0
00:21:30:655.078   Line: 352/22, intID = 2
00:21:30:655.616   Line: 368/23, intID = 0
00:21:30:656.144   Line: 368/23, intID = 2
00:21:30:656.673   Line: 384/24, intID = 0
00:21:30:657.199   Line: 384/24, intID = 2
00:21:30:657.730   Line: 400/25, intID = 0
00:21:30:658.256   Line: 400/25, intID = 2
00:21:30:658.832   Line: 416/26, intID = 0
00:21:30:659.313   Line: 416/26, intID = 2
00:21:30:659.901   Line: 432/27, intID = 0
00:21:30:660.380   Line: 432/27, intID = 2
00:21:30:660.883   Line: 448/28, intID = 0
00:21:30:661.380   Line: 448/28, intID = 2
00:21:30:661.905   Line: 464/29, intID = 0
00:21:30:662.487   Line: 464/29, intID = 2
00:21:30:662.589   Line: 464/29, intID = 2
00:21:30:663.010   Line: 480/30, intID = 0
00:21:30:663.606   Line: 480/30, intID = 2
00:21:30:664.033   Line: 496/31, intID = 0
00:21:30:664.533   Line: 496/31, intID = 2
00:21:30:665.080   Line: 512/32, intID = 0
00:21:30:666.229   Line: 016/1, intID = 0
00:21:30:667.221   Line: 032/2, intID = 0
00:21:30:668.279   Line: 048/3, intID = 0
00:21:30:669.337   Line: 064/4, intID = 0
00:21:30:670.537   Line: 080/5, intID = 0
00:21:30:671.456   Line: 096/6, intID = 0
00:21:30:672.477   Line: 112/7, intID = 0
00:21:30:673.568   Line: 128/8, intID = 0
00:21:30:674.634   Line: 144/9, intID = 0
00:21:30:675.689   Line: 160/10, intID = 0
00:21:30:676.740   Line: 176/11, intID = 0
00:21:30:677.793   Line: 192/12, intID = 0
00:21:30:678.852   Line: 208/13, intID = 0
00:21:30:679.909   Line: 224/14, intID = 0
00:21:30:680.968   Line: 240/15, intID = 0
00:21:30:682.027   Line: 256/16, intID = 0
00:21:30:683.080   Line: 272/17, intID = 0
00:21:30:684.178   Line: 288/18, intID = 0
00:21:30:685.195   Line: 304/19, intID = 0
00:21:30:686.350   Line: 320/20, intID = 0
00:21:30:687.309   Line: 336/21, intID = 0
00:21:30:688.365   Line: 352/22, intID = 0
00:21:30:689.425   Line: 368/23, intID = 0
00:21:30:690.482   Line: 384/24, intID = 0
00:21:30:691.540   Line: 400/25, intID = 0
00:21:30:692.593   Line: 416/26, intID = 0
00:21:30:693.654   Line: 432/27, intID = 0
00:21:30:694.691   Line: 448/28, intID = 0
00:21:30:695.745   Line: 464/29, intID = 0
00:21:30:696.831   Line: 480/30, intID = 0
00:21:30:697.862   Line: 496/31, intID = 0
00:21:30:698.916   Line: 512/32, intID = 0
00:21:30:699.926   Line: 016/1, intID = 0
00:21:30:700.951   Line: 032/2, intID = 0
00:21:30:702.023   Line: 048/3, intID = 0
00:21:30:703.081   Line: 064/4, intID = 0
00:21:30:704.137   Line: 080/5, intID = 0
00:21:30:705.191   Line: 096/6, intID = 0
00:21:30:706.275   Line: 112/7, intID = 0
00:21:30:707.328   Line: 128/8, intID = 0
00:21:30:708.390   Line: 144/9, intID = 0
00:21:30:709.444   Line: 160/10, intID = 0
00:21:30:710.527   Line: 176/11, intID = 0
00:21:30:711.562   Line: 192/12, intID = 0
00:21:30:712.615   Line: 208/13, intID = 0
00:21:30:713.675   Line: 224/14, intID = 0
00:21:30:714.731   Line: 240/15, intID = 0
00:21:30:715.789   Line: 256/16, intID = 0
00:21:30:716.850   Line: 272/17, intID = 0
00:21:30:717.902   Line: 288/18, intID = 0
00:21:30:718.964   Line: 304/19, intID = 0
00:21:30:720.017   Line: 320/20, intID = 0
00:21:30:721.075   Line: 336/21, intID = 0
00:21:30:722.134   Line: 352/22, intID = 0
00:21:30:723.221   Line: 368/23, intID = 0
00:21:30:724.264   Line: 384/24, intID = 0
00:21:30:725.306   Line: 400/25, intID = 0
00:21:30:726.394   Line: 416/26, intID = 0
00:21:30:727.417   Line: 432/27, intID = 0
00:21:30:728.476   Line: 448/28, intID = 0
00:21:30:729.531   Line: 464/29, intID = 0
00:21:30:730.590   Line: 480/30, intID = 0
00:21:30:731.658   Line: 496/31, intID = 0
00:21:30:732.714   Line: 512/32, intID = 0
00:21:30:733.811   Line: 016/1, intID = 0
00:21:30:733.859   Line: 016/1, intID = 0
00:21:30:734.807   Line: 032/2, intID = 0
00:21:30:735.917   Line: 048/3, intID = 0
00:21:30:736.940   Line: 064/4, intID = 0
00:21:30:737.986   Line: 080/5, intID = 0
00:21:30:739.047   Line: 096/6, intID = 0
00:21:30:740.102   Line: 112/7, intID = 0
00:21:30:741.158   Line: 128/8, intID = 0
00:21:30:742.250   Line: 144/9, intID = 0
00:21:30:743.276   Line: 160/10, intID = 0
00:21:30:744.329   Line: 176/11, intID = 0
00:21:30:745.388   Line: 192/12, intID = 0
00:21:30:746.447   Line: 208/13, intID = 0
00:21:30:747.501   Line: 224/14, intID = 0
00:21:30:748.594   Line: 240/15, intID = 0
00:21:30:749.618   Line: 256/16, intID = 0
00:21:30:750.663   Line: 272/17, intID = 0
00:21:30:751.730   Line: 288/18, intID = 0
00:21:30:752.786   Line: 304/19, intID = 0
00:21:30:753.844   Line: 320/20, intID = 0
00:21:30:754.904   Line: 336/21, intID = 0
00:21:30:755.962   Line: 352/22, intID = 0
00:21:30:757.018   Line: 368/23, intID = 0
00:21:30:758.072   Line: 384/24, intID = 0
00:21:30:759.129   Line: 400/25, intID = 0
00:21:30:760.191   Line: 416/26, intID = 0
00:21:30:761.278   Line: 432/27, intID = 0
00:21:30:762.363   Line: 448/28, intID = 0
00:21:30:763.363   Line: 464/29, intID = 0
00:21:30:764.416   Line: 480/30, intID = 0
00:21:30:765.474   Line: 496/31, intID = 0
00:21:30:766.532   Line: 512/32, intID = 0
00:21:30:767.658   Line: 016/1, intID = 0
00:21:30:768.777   Line: 032/2, intID = 0
00:21:30:769.806   Line: 048/3, intID = 0
00:21:30:770.822   Line: 064/4, intID = 0
00:21:30:771.880   Line: 080/5, intID = 0
00:21:30:772.938   Line: 096/6, intID = 0
00:21:30:774.049   Line: 112/7, intID = 0
00:21:30:775.061   Line: 128/8, intID = 0
00:21:30:776.117   Line: 144/9, intID = 0
00:21:30:777.170   Line: 160/10, intID = 0
00:21:30:778.230   Line: 176/11, intID = 0
00:21:30:779.291   Line: 192/12, intID = 0
00:21:30:780.342   Line: 208/13, intID = 0
00:21:30:781.398   Line: 224/14, intID = 0
00:21:30:782.453   Line: 240/15, intID = 0
00:21:30:783.512   Line: 256/16, intID = 0
00:21:30:784.568   Line: 272/17, intID = 0
00:21:30:785.627   Line: 288/18, intID = 0
00:21:30:786.720   Line: 304/19, intID = 0
00:21:30:787.742   Line: 320/20, intID = 0
00:21:30:788.795   Line: 336/21, intID = 0
00:21:30:789.872   Line: 352/22, intID = 0
00:21:30:790.912   Line: 368/23, intID = 0
00:21:30:791.966   Line: 384/24, intID = 0
00:21:30:793.069   Line: 400/25, intID = 0
00:21:30:794.125   Line: 416/26, intID = 0
00:21:30:795.184   Line: 432/27, intID = 0
00:21:30:796.237   Line: 448/28, intID = 0
00:21:30:797.291   Line: 464/29, intID = 0
00:21:30:798.346   Line: 480/30, intID = 0
00:21:30:799.485   Line: 496/31, intID = 0
00:21:30:800.425   Line: 512/32, intID = 0
00:21:30:801.487   Line: 016/1, intID = 0
00:21:30:802.616   Line: 032/2, intID = 0
00:21:30:803.575   Line: 048/3, intID = 0
00:21:30:804.634   Line: 064/4, intID = 0
00:21:30:805.692   Line: 080/5, intID = 0
00:21:30:806.745   Line: 096/6, intID = 0
00:21:30:807.805   Line: 112/7, intID = 0
00:21:30:808.861   Line: 128/8, intID = 0
00:21:30:809.921   Line: 144/9, intID = 0
00:21:30:810.977   Line: 160/10, intID = 0
00:21:30:812.096   Line: 176/11, intID = 0
00:21:30:813.078   Line: 192/12, intID = 0
00:21:30:814.168   Line: 208/13, intID = 0
00:21:30:815.230   Line: 224/14, intID = 0
00:21:30:816.285   Line: 240/15, intID = 0
00:21:30:817.338   Line: 256/16, intID = 0
00:21:30:818.396   Line: 272/17, intID = 0
00:21:30:819.463   Line: 288/18, intID = 0
00:21:30:820.518   Line: 304/19, intID = 0
00:21:30:821.632   Line: 320/20, intID = 0
00:21:30:822.696   Line: 336/21, intID = 0
00:21:30:823.850   Line: 352/22, intID = 0
00:21:30:824.782   Line: 368/23, intID = 0
00:21:30:825.805   Line: 384/24, intID = 0
00:21:30:826.855   Line: 400/25, intID = 0
00:21:30:827.915   Line: 416/26, intID = 0
00:21:30:828.968   Line: 432/27, intID = 0
00:21:30:830.027   Line: 448/28, intID = 0
00:21:30:831.086   Line: 464/29, intID = 0
00:21:30:832.139   Line: 480/30, intID = 0
00:21:30:833.200   Line: 496/31, intID = 0
00:21:30:834.259   Line: 512/32, intID = 0
00:21:30:835.315   Line: 016/1, intID = 0
00:21:30:836.334   Line: 032/2, intID = 0
00:21:30:837.458   Line: 048/3, intID = 0
00:21:30:838.535   Line: 064/4, intID = 0
00:21:30:839.540   Line: 080/5, intID = 0
00:21:30:840.595   Line: 096/6, intID = 0
00:21:30:841.656   Line: 112/7, intID = 0
00:21:30:842.710   Line: 128/8, intID = 0
00:21:30:843.809   Line: 144/9, intID = 0
00:21:30:844.865   Line: 160/10, intID = 0
00:21:30:845.919   Line: 176/11, intID = 0
00:21:30:846.978   Line: 192/12, intID = 0
00:21:30:848.037   Line: 208/13, intID = 0
00:21:30:849.092   Line: 224/14, intID = 0
00:21:30:850.227   Line: 240/15, intID = 0
00:21:30:851.201   Line: 256/16, intID = 0
00:21:30:852.223   Line: 272/17, intID = 0
00:21:30:853.280   Line: 288/18, intID = 0
00:21:30:854.340   Line: 304/19, intID = 0
00:21:30:855.394   Line: 320/20, intID = 0
00:21:30:856.456   Line: 336/21, intID = 0
00:21:30:857.511   Line: 352/22, intID = 0
00:21:30:858.567   Line: 368/23, intID = 0
00:21:30:859.623   Line: 384/24, intID = 0
00:21:30:860.687   Line: 400/25, intID = 0
00:21:30:861.742   Line: 416/26, intID = 0
00:21:30:862.801   Line: 432/27, intID = 0
00:21:30:863.919   Line: 448/28, intID = 0
00:21:30:864.916   Line: 464/29, intID = 0
00:21:30:865.969   Line: 480/30, intID = 0
00:21:30:867.030   Line: 496/31, intID = 0
00:21:30:868.082   Line: 512/32, intID = 0
00:21:30:869.083   Line: 016/1, intID = 0
00:21:30:870.105   Line: 032/2, intID = 0
00:21:30:871.247   Line: 048/3, intID = 0
00:21:30:872.868   Line: 064/4, intID = 2
00:21:30:873.400   Line: 080/5, intID = 0
00:21:30:874.453   Line: 096/6, intID = 0
00:21:30:875.607   Line: 112/7, intID = 0
00:21:30:876.604   Line: 128/8, intID = 0
00:21:30:877.662   Line: 144/9, intID = 0
00:21:30:878.624   Line: 160/10, intID = 0
00:21:30:879.731   Line: 176/11, intID = 0
00:21:30:880.741   Line: 192/12, intID = 0
00:21:30:881.845   Line: 208/13, intID = 0
00:21:30:882.903   Line: 224/14, intID = 0
00:21:30:883.960   Line: 240/15, intID = 0
00:21:30:885.017   Line: 256/16, intID = 0
00:21:30:886.077   Line: 272/17, intID = 0
00:21:30:887.168   Line: 288/18, intID = 0
00:21:30:888.193   Line: 304/19, intID = 0
00:21:30:889.446   Line: 320/20, intID = 0
00:21:30:890.284   Line: 336/21, intID = 0
00:21:30:891.307   Line: 352/22, intID = 0
00:21:30:892.408   Line: 368/23, intID = 0
00:21:30:893.509   Line: 384/24, intID = 0
00:21:30:894.608   Line: 400/25, intID = 0
00:21:30:895.537   Line: 416/26, intID = 0
00:21:30:896.596   Line: 432/27, intID = 0
00:21:30:897.652   Line: 448/28, intID = 0
00:21:30:898.709   Line: 464/29, intID = 0
00:21:30:899.781   Line: 480/30, intID = 0
00:21:30:900.825   Line: 496/31, intID = 0
00:21:30:902.043   Line: 512/32, intID = 0
00:21:30:903.011   Line: 016/1, intID = 0
00:21:30:904.065   Line: 032/2, intID = 0
00:21:30:905.169   Line: 048/3, intID = 0
00:21:30:906.229   Line: 064/4, intID = 0
00:21:30:907.283   Line: 080/5, intID = 0
00:21:30:908.320   Line: 096/6, intID = 0
00:21:30:908.371   Line: 096/6, intID = 0
00:21:30:909.350   Line: 112/7, intID = 0
00:21:30:910.410   Line: 128/8, intID = 0
00:21:30:911.468   Line: 144/9, intID = 0
00:21:30:912.522   Line: 160/10, intID = 0
00:21:30:913.706   Line: 176/11, intID = 0
00:21:30:914.614   Line: 192/12, intID = 0
00:21:30:915.660   Line: 208/13, intID = 0
00:21:30:916.728   Line: 224/14, intID = 0
00:21:30:917.797   Line: 240/15, intID = 0
00:21:30:918.827   Line: 256/16, intID = 0
00:21:30:919.886   Line: 272/17, intID = 0
00:21:30:920.942   Line: 288/18, intID = 0
00:21:30:922.038   Line: 304/19, intID = 0
00:21:30:923.138   Line: 320/20, intID = 0
00:21:30:924.197   Line: 336/21, intID = 0
00:21:30:925.256   Line: 352/22, intID = 0
00:21:30:926.360   Line: 368/23, intID = 0
00:21:30:927.418   Line: 384/24, intID = 0
00:21:30:928.426   Line: 400/25, intID = 0
00:21:30:929.483   Line: 416/26, intID = 0
00:21:30:930.540   Line: 432/27, intID = 0
00:21:30:931.601   Line: 448/28, intID = 0
00:21:30:932.658   Line: 464/29, intID = 0
00:21:30:933.716   Line: 480/30, intID = 0
00:21:30:934.772   Line: 496/31, intID = 0
00:21:30:935.829   Line: 512/32, intID = 0
00:21:30:936.836   Line: 016/1, intID = 0
00:21:30:937.880   Line: 032/2, intID = 0
00:21:30:939.047   Line: 048/3, intID = 0
00:21:30:940.579   Line: 064/4, intID = 2
00:21:30:941.124   Line: 080/5, intID = 0
00:21:30:942.176   Line: 096/6, intID = 0
00:21:30:943.225   Line: 112/7, intID = 0
00:21:30:944.281   Line: 128/8, intID = 0
00:21:30:945.339   Line: 144/9, intID = 0
00:21:30:946.399   Line: 160/10, intID = 0
00:21:30:947.456   Line: 176/11, intID = 0
00:21:30:948.510   Line: 192/12, intID = 0
00:21:30:949.582   Line: 208/13, intID = 0
00:21:30:951.161   Line: 224/14, intID = 2
00:21:30:951.735   Line: 240/15, intID = 0
00:21:30:952.790   Line: 256/16, intID = 0
00:21:30:953.825   Line: 272/17, intID = 0
00:21:30:954.826   Line: 288/18, intID = 0
00:21:30:955.865   Line: 304/19, intID = 0
00:21:30:956.925   Line: 320/20, intID = 0
00:21:30:957.981   Line: 336/21, intID = 0
00:21:30:959.038   Line: 352/22, intID = 0
00:21:30:960.069   Line: 368/23, intID = 0
00:21:30:961.154   Line: 384/24, intID = 0
00:21:30:962.258   Line: 400/25, intID = 0
00:21:30:963.318   Line: 416/26, intID = 0
00:21:30:964.428   Line: 432/27, intID = 0
00:21:30:965.489   Line: 448/28, intID = 0
00:21:30:966.556   Line: 464/29, intID = 0
00:21:30:967.551   Line: 480/30, intID = 0
00:21:30:969.635   Line: 512/32, intID = 0
00:21:30:970.668   Line: 016/1, intID = 0
00:21:30:971.720   Line: 032/2, intID = 0
00:21:30:972.831   Line: 048/3, intID = 0
00:21:30:973.887   Line: 064/4, intID = 0
00:21:30:974.944   Line: 080/5, intID = 0
00:21:30:976.002   Line: 096/6, intID = 0
00:21:30:977.039   Line: 112/7, intID = 0
00:21:30:978.238   Line: 128/8, intID = 0
00:21:30:979.309   Line: 144/9, intID = 0
00:21:30:980.283   Line: 160/10, intID = 0
00:21:30:981.285   Line: 176/11, intID = 0
00:21:30:982.345   Line: 192/12, intID = 0
00:21:30:983.401   Line: 208/13, intID = 0
00:21:30:984.460   Line: 224/14, intID = 0
00:21:30:985.516   Line: 240/15, intID = 0
00:21:30:986.573   Line: 256/16, intID = 0
00:21:30:987.631   Line: 272/17, intID = 0
00:21:30:988.688   Line: 288/18, intID = 0
00:21:30:989.745   Line: 304/19, intID = 0
00:21:30:990.968   Line: 320/20, intID = 0
00:21:30:991.905   Line: 336/21, intID = 0
00:21:30:992.897   Line: 352/22, intID = 0
00:21:30:993.968   Line: 368/23, intID = 0
00:21:30:995.031   Line: 384/24, intID = 0
00:21:30:996.088   Line: 400/25, intID = 0
00:21:30:997.145   Line: 416/26, intID = 0
00:21:30:998.203   Line: 432/27, intID = 0
00:21:30:999.259   Line: 448/28, intID = 0
00:21:31:0.265   Line: 464/29, intID = 0
00:21:31:1.323   Line: 480/30, intID = 0
00:21:31:2.382   Line: 496/31, intID = 0
00:21:31:3.487   Line: 512/32, intID = 0
00:21:31:4.543   Line: 016/1, intID = 0
00:21:31:5.484   Line: 032/2, intID = 0
00:21:31:6.616   Line: 048/3, intID = 0
00:21:31:7.685   Line: 064/4, intID = 0
00:21:31:8.775   Line: 080/5, intID = 0
00:21:31:9.837   Line: 096/6, intID = 0
00:21:31:11.441   Line: 112/7, intID = 2
00:21:31:11.942   Line: 128/8, intID = 0
00:21:31:13.534   Line: 144/9, intID = 2
00:21:31:14.056   Line: 160/10, intID = 0
00:21:31:15.132   Line: 176/11, intID = 0
00:21:31:16.310   Line: 192/12, intID = 0
00:21:31:17.276   Line: 208/13, intID = 0
00:21:31:18.413   Line: 224/14, intID = 0
00:21:31:19.296   Line: 240/15, intID = 0
